"dataset","n_replicates","min_year","max_year","samples"
"BoBIC_GulfofCadizmud_btrawling",1,2016,2022,51
"BoBIC_GulfofCadizsand_btrawling",1,2015,2015,16
"BS_gotland_btrawling",1,2012,2012,8
"BS_southernbaltic_btrawling",5,2018,2018,11
"BS_southernbaltic_oxygendepletion",5,2018,2018,9
"NS_BfN_beam_btrawling",1,2021,2021,50
"NS_BfN_grab_btrawling",3,2021,2021,50
"NS_doggerbank_btrawling",5,2003,2003,7
"NS_fladenground_btrawling",5,2004,2004,14
"NS_Hinderbanken_btrawling",NA,2011,2011,21
"NS_Hinderbanken_sandextr_and_btrawling",NA,2011,2019,156
"NS_Kattegat_btrawling",1,2017,2018,112
"NS_Kattegat_btrawling_old",1,2017,2018,112
"NS_LongForties_btrawling",5,2003,2003,5
"NS_Oostdyck_sandextr_and_btrawling",NA,2011,2019,70
"NS_SilverPit_btrawling",4,2002,2002,6
"NS_Thornton_sandextr_and_btrawling",NA,2011,2019,163
"WMS_IMPEC_btrawling",3,2021,2021,10
