"dataset","n_habitat_types","min_year","max_year","samples"
"BoBIC_CGFS",9,2014,2024,785
"BoBIC_GulfofCadizhabitats",2,2013,2022,383
"BoBIC_IberianChabitats",5,2013,2022,1241
"CS_EVHOE",12,2008,2024,2355
"CS_NS_IBTSFR",8,2012,2025,921
"CS_NS_UKhabitats",9,2004,2014,2204
"FR_ORHAGO",7,2011,2024,782
"NS_BEhabitats",2,2011,2019,216
"NS_DKhabitats",6,2010,2022,3646
"NS_NLhabitats",8,1999,2021,1772
"WMS_APPEALMED",2,2018,2018,17
"WMS_EShabitats",7,2014,2024,1718
"WMS_FRMEDITS",16,2013,2024,1011
"WMS_IEOESPhabitats",4,2014,2022,404
"WMS_ISCMS_IRBIMCNR",18,2007,2023,1775
"WMS_NOURMED",8,2018,2019,204
